centímetro de mercúrio [0 ˚C],1.32E-02,1.36E-02,1.33E+16,1.33E+21,1.33E-02,1.33E+04,1.33E+04,1.33E+00,1.00E+00,1.36E+01,1.00E+00,1.33E+05,1.00E+03,1.36E+01,1.36E+02,5.35E+00,1.33E-03,1.33E+02,1.33E-01,1.33E+04,1.00E+02,1.33E+04,1.33E-20,1.33E-15,1.33E+13,1.33E+18,1.33E-11,1.33E-06,1.36E+01,1.33E-04,1.33E+01,2.78E-02,1.93E-04,2.78E+01,1.93E-01,1.33E-08,1.33E-03,1.33E-03,1.05E+02,1.11E+02,1.33E+04,1.36E+05,1.00E+04,1.33E+09,1.33E+01,1.00E+01,1.36E+02,1.00E+01,1.33E+06,1.00E+04,1.33E+07,1.33E+12,1.33E+03,1.33E-03,3.09E+00,1.33E+03,5.35E+00,4.14E+03,4.37E+03,3.94E-01,1.33E-17,1.33E-12,1.33E+10,1.33E+15,1.33E+00,5.35E+00,4.14E+03,4.37E+03,3.94E-01,8.96E+02,1.33E-05,1.36E-02,1.36E+02,1.36E-04,1.33E+00,1.33E+00,1.36E-02,1.36E+02,1.36E-04,1.33E+00,1.33E-14,1.33E-09,1.39E-02,9.67E-05,1.24E-02,8.63E-05,1.36E-01,1.00E+01,1.33E+22,1.33E+27,1.33E-26,1.33E-21,1.33E+19,1.33E+24,1.33E-23,1.33E-18
centipascal,9.87E-08,1.02E-07,1.00E+11,1.00E+16,1.00E-07,1.00E-01,1.00E-01,1.00E-05,7.50E-06,1.02E-04,7.50E-06,1.00E+00,7.50E-03,1.02E-04,1.02E-03,4.01E-05,1.00E-08,1.00E-03,1.00E-06,1.00E-01,7.50E-04,1.00E-01,1.00E-25,1.00E-20,1.00E+08,1.00E+13,1.00E-16,1.00E-11,1.02E-04,1.00E-09,1.00E-04,2.09E-07,1.45E-09,2.09E-04,1.45E-06,1.00E-13,1.00E-08,1.00E-08,7.89E-04,8.32E-04,1.00E-01,1.02E+00,7.50E-02,1.00E+04,1.00E-04,7.50E-05,1.02E-03,7.50E-05,1.00E+01,7.50E-02,1.00E+02,1.00E+07,1.00E-02,1.00E-08,2.32E-05,1.00E-02,4.01E-05,3.11E-02,3.28E-02,2.95E-06,1.00E-22,1.00E-17,1.00E+05,1.00E+10,1.00E-05,4.01E-05,3.11E-02,3.28E-02,2.95E-06,6.72E-03,1.00E-10,1.02E-07,1.02E-03,1.02E-09,1.00E-05,1.00E-05,1.02E-07,1.02E-03,1.02E-09,1.00E-05,1.00E-19,1.00E-14,1.04E-07,7.25E-10,9.32E-08,6.47E-10,1.02E-06,7.50E-05,1.00E+17,1.00E+22,1.00E-31,1.00E-26,1.00E+14,1.00E+19,1.00E-28,1.00E-23
centitorr,1.32E-05,1.36E-05,1.33E+13,1.33E+18,1.33E-05,1.33E+01,1.33E+01,1.33E-03,1.00E-03,1.36E-02,1.00E-03,1.33E+02,1.00E+00,1.36E-02,1.36E-01,5.35E-03,1.33E-06,1.33E-01,1.33E-04,1.33E+01,1.00E-01,1.33E+01,1.33E-23,1.33E-18,1.33E+10,1.33E+15,1.33E-14,1.33E-09,1.36E-02,1.33E-07,1.33E-02,2.78E-05,1.93E-07,2.78E-02,1.93E-04,1.33E-11,1.33E-06,1.33E-06,1.05E-01,1.11E-01,1.33E+01,1.36E+02,1.00E+01,1.33E+06,1.33E-02,1.00E-02,1.36E-01,1.00E-02,1.33E+03,1.00E+01,1.33E+04,1.33E+09,1.33E+00,1.33E-06,3.09E-03,1.33E+00,5.35E-03,4.14E+00,4.37E+00,3.94E-04,1.33E-20,1.33E-15,1.33E+07,1.33E+12,1.33E-03,5.35E-03,4.14E+00,4.37E+00,3.94E-04,8.96E-01,1.33E-08,1.36E-05,1.36E-01,1.36E-07,1.33E-03,1.33E-03,1.36E-05,1.36E-01,1.36E-07,1.33E-03,1.33E-17,1.33E-12,1.39E-05,9.67E-08,1.24E-05,8.63E-08,1.36E-04,1.00E-02,1.33E+19,1.33E+24,1.33E-29,1.33E-24,1.33E+16,1.33E+21,1.33E-26,1.33E-21
coluna de água [centímetro],9.68E-04,1.00E-03,9.81E+14,9.81E+19,9.81E-04,9.81E+02,9.80E+02,9.81E-02,7.36E-02,1.00E+00,7.36E-02,9.81E+03,7.36E+01,1.00E+00,1.00E+01,3.94E-01,9.81E-05,9.81E+00,9.81E-03,9.81E+02,7.36E+00,9.81E+02,9.81E-22,9.81E-17,9.81E+11,9.81E+16,9.81E-13,9.81E-08,1.00E+00,9.81E-06,9.81E-01,2.05E-03,1.42E-05,2.05E+00,1.42E-02,9.81E-10,9.81E-05,9.81E-05,7.74E+00,8.16E+00,9.81E+02,1.00E+04,7.36E+02,9.81E+07,9.81E-01,7.36E-01,1.00E+01,7.36E-01,9.81E+04,7.36E+02,9.81E+05,9.81E+10,9.81E+01,9.81E-05,2.28E-01,9.81E+01,3.94E-01,3.05E+02,3.21E+02,2.90E-02,9.81E-19,9.81E-14,9.81E+08,9.81E+13,9.81E-02,3.94E-01,3.05E+02,3.21E+02,2.90E-02,6.59E+01,9.81E-07,1.00E-03,1.00E+01,1.00E-05,9.81E-02,9.81E-02,1.00E-03,1.00E+01,1.00E-05,9.81E-02,9.81E-16,9.81E-11,1.02E-03,7.11E-06,9.14E-04,6.35E-06,1.00E-02,7.36E-01,9.81E+20,9.81E+25,9.81E-28,9.81E-23,9.81E+17,9.81E+22,9.81E-25,9.81E-20
coluna de água [milímetro],9.68E-05,1.00E-04,9.81E+13,9.81E+18,9.81E-05,9.81E+01,9.80E+01,9.81E-03,7.36E-03,1.00E-01,7.36E-03,9.81E+02,7.36E+00,1.00E-01,1.00E+00,3.94E-02,9.81E-06,9.81E-01,9.81E-04,9.81E+01,7.36E-01,9.81E+01,9.81E-23,9.81E-18,9.81E+10,9.81E+15,9.81E-14,9.81E-09,1.00E-01,9.81E-07,9.81E-02,2.05E-04,1.42E-06,2.05E-01,1.42E-03,9.81E-11,9.81E-06,9.81E-06,7.74E-01,8.16E-01,9.81E+01,1.00E+03,7.36E+01,9.81E+06,9.81E-02,7.36E-02,1.00E+00,7.36E-02,9.81E+03,7.36E+01,9.81E+04,9.81E+09,9.81E+00,9.81E-06,2.28E-02,9.81E+00,3.94E-02,3.05E+01,3.21E+01,2.90E-03,9.81E-20,9.81E-15,9.81E+07,9.81E+12,9.81E-03,3.94E-02,3.05E+01,3.21E+01,2.90E-03,6.59E+00,9.81E-08,1.00E-04,1.00E+00,1.00E-06,9.81E-03,9.81E-03,1.00E-04,1.00E+00,1.00E-06,9.81E-03,9.81E-17,9.81E-12,1.02E-04,7.11E-07,9.14E-05,6.35E-07,1.00E-03,7.36E-02,9.81E+19,9.81E+24,9.81E-29,9.81E-24,9.81E+16,9.81E+21,9.81E-26,9.81E-21
coluna de água [polegada],2.46E-03,2.54E-03,2.49E+15,2.49E+20,2.49E-03,2.49E+03,2.49E+03,2.49E-01,1.87E-01,2.54E+00,1.87E-01,2.49E+04,1.87E+02,2.54E+00,2.54E+01,1.00E+00,2.49E-04,2.49E+01,2.49E-02,2.49E+03,1.87E+01,2.49E+03,2.49E-21,2.49E-16,2.49E+12,2.49E+17,2.49E-12,2.49E-07,2.54E+00,2.49E-05,2.49E+00,5.20E-03,3.61E-05,5.20E+00,3.61E-02,2.49E-09,2.49E-04,2.49E-04,1.96E+01,2.07E+01,2.49E+03,2.54E+04,1.87E+03,2.49E+08,2.49E+00,1.87E+00,2.54E+01,1.87E+00,2.49E+05,1.87E+03,2.49E+06,2.49E+11,2.49E+02,2.49E-04,5.78E-01,2.49E+02,1.00E+00,7.74E+02,8.16E+02,7.36E-02,2.49E-18,2.49E-13,2.49E+09,2.49E+14,2.49E-01,1.00E+00,7.74E+02,8.16E+02,7.36E-02,1.67E+02,2.49E-06,2.54E-03,2.54E+01,2.54E-05,2.49E-01,2.49E-01,2.54E-03,2.54E+01,2.54E-05,2.49E-01,2.49E-15,2.49E-10,2.60E-03,1.81E-05,2.32E-03,1.61E-05,2.54E-02,1.87E+00,2.49E+21,2.49E+26,2.49E-27,2.49E-22,2.49E+18,2.49E+23,2.49E-24,2.49E-19
decabar,9.87E+00,1.02E+01,1.00E+19,1.00E+24,1.00E+01,1.00E+07,1.00E+07,1.00E+03,7.50E+02,1.02E+04,7.50E+02,1.00E+08,7.50E+05,1.02E+04,1.02E+05,4.01E+03,1.00E+00,1.00E+05,1.00E+02,1.00E+07,7.50E+04,1.00E+07,1.00E-17,1.00E-12,1.00E+16,1.00E+21,1.00E-08,1.00E-03,1.02E+04,1.00E-01,1.00E+04,2.09E+01,1.45E-01,2.09E+04,1.45E+02,1.00E-05,1.00E+00,1.00E+00,7.89E+04,8.32E+04,1.00E+07,1.02E+08,7.50E+06,1.00E+12,1.00E+04,7.50E+03,1.02E+05,7.50E+03,1.00E+09,7.50E+06,1.00E+10,1.00E+15,1.00E+06,1.00E+00,2.32E+03,1.00E+06,4.01E+03,3.11E+06,3.28E+06,2.95E+02,1.00E-14,1.00E-09,1.00E+13,1.00E+18,1.00E+03,4.01E+03,3.11E+06,3.28E+06,2.95E+02,6.72E+05,1.00E-02,1.02E+01,1.02E+05,1.02E-01,1.00E+03,1.00E+03,1.02E+01,1.02E+05,1.02E-01,1.00E+03,1.00E-11,1.00E-06,1.04E+01,7.25E-02,9.32E+00,6.47E-02,1.02E+02,7.50E+03,1.00E+25,1.00E+30,1.00E-23,1.00E-18,1.00E+22,1.00E+27,1.00E-20,1.00E-15
decapascal,9.87E-05,1.02E-04,1.00E+14,1.00E+19,1.00E-04,1.00E+02,1.00E+02,1.00E-02,7.50E-03,1.02E-01,7.50E-03,1.00E+03,7.50E+00,1.02E-01,1.02E+00,4.01E-02,1.00E-05,1.00E+00,1.00E-03,1.00E+02,7.50E-01,1.00E+02,1.00E-22,1.00E-17,1.00E+11,1.00E+16,1.00E-13,1.00E-08,1.02E-01,1.00E-06,1.00E-01,2.09E-04,1.45E-06,2.09E-01,1.45E-03,1.00E-10,1.00E-05,1.00E-05,7.89E-01,8.32E-01,1.00E+02,1.02E+03,7.50E+01,1.00E+07,1.00E-01,7.50E-02,1.02E+00,7.50E-02,1.00E+04,7.50E+01,1.00E+05,1.00E+10,1.00E+01,1.00E-05,2.32E-02,1.00E+01,4.01E-02,3.11E+01,3.28E+01,2.95E-03,1.00E-19,1.00E-14,1.00E+08,1.00E+13,1.00E-02,4.01E-02,3.11E+01,3.28E+01,2.95E-03,6.72E+00,1.00E-07,1.02E-04,1.02E+00,1.02E-06,1.00E-02,1.00E-02,1.02E-04,1.02E+00,1.02E-06,1.00E-02,1.00E-16,1.00E-11,1.04E-04,7.25E-07,9.32E-05,6.47E-07,1.02E-03,7.50E-02,1.00E+20,1.00E+25,1.00E-28,1.00E-23,1.00E+17,1.00E+22,1.00E-25,1.00E-20
decibar,9.87E-02,1.02E-01,1.00E+17,1.00E+22,1.00E-01,1.00E+05,1.00E+05,1.00E+01,7.50E+00,1.02E+02,7.50E+00,1.00E+06,7.50E+03,1.02E+02,1.02E+03,4.01E+01,1.00E-02,1.00E+03,1.00E+00,1.00E+05,7.50E+02,1.00E+05,1.00E-19,1.00E-14,1.00E+14,1.00E+19,1.00E-10,1.00E-05,1.02E+02,1.00E-03,1.00E+02,2.09E-01,1.45E-03,2.09E+02,1.45E+00,1.00E-07,1.00E-02,1.00E-02,7.89E+02,8.32E+02,1.00E+05,1.02E+06,7.50E+04,1.00E+10,1.00E+02,7.50E+01,1.02E+03,7.50E+01,1.00E+07,7.50E+04,1.00E+08,1.00E+13,1.00E+04,1.00E-02,2.32E+01,1.00E+04,4.01E+01,3.11E+04,3.28E+04,2.95E+00,1.00E-16,1.00E-11,1.00E+11,1.00E+16,1.00E+01,4.01E+01,3.11E+04,3.28E+04,2.95E+00,6.72E+03,1.00E-04,1.02E-01,1.02E+03,1.02E-03,1.00E+01,1.00E+01,1.02E-01,1.02E+03,1.02E-03,1.00E+01,1.00E-13,1.00E-08,1.04E-01,7.25E-04,9.32E-02,6.47E-04,1.02E+00,7.50E+01,1.00E+23,1.00E+28,1.00E-25,1.00E-20,1.00E+20,1.00E+25,1.00E-22,1.00E-17
decipascal,9.87E-07,1.02E-06,1.00E+12,1.00E+17,1.00E-06,1.00E+00,1.00E+00,1.00E-04,7.50E-05,1.02E-03,7.50E-05,1.00E+01,7.50E-02,1.02E-03,1.02E-02,4.01E-04,1.00E-07,1.00E-02,1.00E-05,1.00E+00,7.50E-03,1.00E+00,1.00E-24,1.00E-19,1.00E+09,1.00E+14,1.00E-15,1.00E-10,1.02E-03,1.00E-08,1.00E-03,2.09E-06,1.45E-08,2.09E-03,1.45E-05,1.00E-12,1.00E-07,1.00E-07,7.89E-03,8.32E-03,1.00E+00,1.02E+01,7.50E-01,1.00E+05,1.00E-03,7.50E-04,1.02E-02,7.50E-04,1.00E+02,7.50E-01,1.00E+03,1.00E+08,1.00E-01,1.00E-07,2.32E-04,1.00E-01,4.01E-04,3.11E-01,3.28E-01,2.95E-05,1.00E-21,1.00E-16,1.00E+06,1.00E+11,1.00E-04,4.01E-04,3.11E-01,3.28E-01,2.95E-05,6.72E-02,1.00E-09,1.02E-06,1.02E-02,1.02E-08,1.00E-04,1.00E-04,1.02E-06,1.02E-02,1.02E-08,1.00E-04,1.00E-18,1.00E-13,1.04E-06,7.25E-09,9.32E-07,6.47E-09,1.02E-05,7.50E-04,1.00E+18,1.00E+23,1.00E-30,1.00E-25,1.00E+15,1.00E+20,1.00E-27,1.00E-22
