decilitro,1.00E+26,1.18E-52,1.00E+50,1.00E+01,1.00E+02,2.03E+01,1.69E+01,6.76E+00,5.63E+00,1.00E-07,1.00E+00,1.00E-01,1.00E-58,1.00E+31,2.64E-02,2.20E-02,1.00E-31,1.00E-10,1.31E-04,1.00E-01,1.00E-22,1.00E-04,1.00E+14,1.57E-14,2.40E-14,1.00E+02,1.00E+05,1.00E+23,3.38E+00,3.52E+00,3.40E-54,3.53E-03,1.00E-49,1.00E+32,6.10E+00,2.11E-01,1.76E-01,8.80E-02,1.06E-01,1.00E-13,1.00E-40,2.99E-38,4.23E-01,3.52E-01,1.00E+68,1.00E-76,1.00E+59,1.00E-67
decímetro3,1.00E+27,1.18E-51,1.00E+51,1.00E+02,1.00E+03,2.03E+02,1.69E+02,6.76E+01,5.63E+01,1.00E-06,1.00E+01,1.00E+00,1.00E-57,1.00E+32,2.64E-01,2.20E-01,1.00E-30,1.00E-09,1.31E-03,1.00E+00,1.00E-21,1.00E-03,1.00E+15,1.57E-13,2.40E-13,1.00E+03,1.00E+06,1.00E+24,3.38E+01,3.52E+01,3.40E-53,3.53E-02,1.00E-48,1.00E+33,6.10E+01,2.11E+00,1.76E+00,8.80E-01,1.06E+00,1.00E-12,1.00E-39,2.99E-37,4.23E+00,3.52E+00,1.00E+69,1.00E-75,1.00E+60,1.00E-66
exâmetro3,1.00E+84,1.18E+06,1.00E+108,1.00E+59,1.00E+60,2.03E+59,1.69E+59,6.76E+58,5.63E+58,1.00E+51,1.00E+58,1.00E+57,1.00E+00,1.00E+89,2.64E+56,2.20E+56,1.00E+27,1.00E+48,1.31E+54,1.00E+57,1.00E+36,1.00E+54,1.00E+72,1.57E+44,2.40E+44,1.00E+60,1.00E+63,1.00E+81,3.38E+58,3.52E+58,3.40E+04,3.53E+55,1.00E+09,1.00E+90,6.10E+58,2.11E+57,1.76E+57,8.80E+56,1.06E+57,1.00E+45,1.00E+18,2.99E+20,4.23E+57,3.52E+57,1.00E+126,1.00E-18,1.00E+117,1.00E-09
femtômetro3,1.00E-05,1.18E-83,1.00E+19,1.00E-30,1.00E-29,2.03E-30,1.69E-30,6.76E-31,5.63E-31,1.00E-38,1.00E-31,1.00E-32,1.00E-89,1.00E+00,2.64E-33,2.20E-33,1.00E-62,1.00E-41,1.31E-35,1.00E-32,1.00E-53,1.00E-35,1.00E-17,1.57E-45,2.40E-45,1.00E-29,1.00E-26,1.00E-08,3.38E-31,3.52E-31,3.40E-85,3.53E-34,1.00E-80,1.00E+01,6.10E-31,2.11E-32,1.76E-32,8.80E-33,1.06E-32,1.00E-44,1.00E-71,2.99E-69,4.23E-32,3.52E-32,1.00E+37,1.00E-107,1.00E+28,1.00E-98
galão Americano,3.79E+27,4.47E-51,3.79E+51,3.79E+02,3.79E+03,7.68E+02,6.40E+02,2.56E+02,2.13E+02,3.79E-06,3.79E+01,3.79E+00,3.79E-57,3.79E+32,1.00E+00,8.33E-01,3.79E-30,3.79E-09,4.95E-03,3.79E+00,3.79E-21,3.79E-03,3.79E+15,5.96E-13,9.08E-13,3.79E+03,3.79E+06,3.79E+24,1.28E+02,1.33E+02,1.29E-52,1.34E-01,3.79E-48,3.79E+33,2.31E+02,8.00E+00,6.66E+00,3.33E+00,4.00E+00,3.79E-12,3.79E-39,1.13E-36,1.60E+01,1.33E+01,3.79E+69,3.79E-75,3.79E+60,3.79E-66
galão imperial,4.55E+27,5.37E-51,4.55E+51,4.55E+02,4.55E+03,9.22E+02,7.68E+02,3.07E+02,2.56E+02,4.55E-06,4.55E+01,4.55E+00,4.55E-57,4.55E+32,1.20E+00,1.00E+00,4.55E-30,4.55E-09,5.95E-03,4.55E+00,4.55E-21,4.55E-03,4.55E+15,7.16E-13,1.09E-12,4.55E+03,4.55E+06,4.55E+24,1.54E+02,1.60E+02,1.55E-52,1.61E-01,4.55E-48,4.55E+33,2.77E+02,9.61E+00,8.00E+00,4.00E+00,4.80E+00,4.55E-12,4.55E-39,1.36E-36,1.92E+01,1.60E+01,4.55E+69,4.55E-75,4.55E+60,4.55E-66
gigâmetro3,1.00E+57,1.18E-21,1.00E+81,1.00E+32,1.00E+33,2.03E+32,1.69E+32,6.76E+31,5.63E+31,1.00E+24,1.00E+31,1.00E+30,1.00E-27,1.00E+62,2.64E+29,2.20E+29,1.00E+00,1.00E+21,1.31E+27,1.00E+30,1.00E+09,1.00E+27,1.00E+45,1.57E+17,2.40E+17,1.00E+33,1.00E+36,1.00E+54,3.38E+31,3.52E+31,3.40E-23,3.53E+28,1.00E-18,1.00E+63,6.10E+31,2.11E+30,1.76E+30,8.80E+29,1.06E+30,1.00E+18,1.00E-09,2.99E-07,4.23E+30,3.52E+30,1.00E+99,1.00E-45,1.00E+90,1.00E-36
hectômetro3,1.00E+36,1.18E-42,1.00E+60,1.00E+11,1.00E+12,2.03E+11,1.69E+11,6.76E+10,5.63E+10,1.00E+03,1.00E+10,1.00E+09,1.00E-48,1.00E+41,2.64E+08,2.20E+08,1.00E-21,1.00E+00,1.31E+06,1.00E+09,1.00E-12,1.00E+06,1.00E+24,1.57E-04,2.40E-04,1.00E+12,1.00E+15,1.00E+33,3.38E+10,3.52E+10,3.40E-44,3.53E+07,1.00E-39,1.00E+42,6.10E+10,2.11E+09,1.76E+09,8.80E+08,1.06E+09,1.00E-03,1.00E-30,2.99E-28,4.23E+09,3.52E+09,1.00E+78,1.00E-66,1.00E+69,1.00E-57
jardas3,7.65E+29,9.03E-49,7.65E+53,7.65E+04,7.65E+05,1.55E+05,1.29E+05,5.17E+04,4.31E+04,7.65E-04,7.65E+03,7.65E+02,7.65E-55,7.65E+34,2.02E+02,1.68E+02,7.65E-28,7.65E-07,1.00E+00,7.65E+02,7.65E-19,7.65E-01,7.65E+17,1.20E-10,1.83E-10,7.65E+05,7.65E+08,7.65E+26,2.59E+04,2.69E+04,2.60E-50,2.70E+01,7.65E-46,7.65E+35,4.67E+04,1.62E+03,1.35E+03,6.73E+02,8.08E+02,7.65E-10,7.65E-37,2.28E-34,3.23E+03,2.69E+03,7.65E+71,7.65E-73,7.65E+62,7.65E-64
litro,1.00E+27,1.18E-51,1.00E+51,1.00E+02,1.00E+03,2.03E+02,1.69E+02,6.76E+01,5.63E+01,1.00E-06,1.00E+01,1.00E+00,1.00E-57,1.00E+32,2.64E-01,2.20E-01,1.00E-30,1.00E-09,1.31E-03,1.00E+00,1.00E-21,1.00E-03,1.00E+15,1.57E-13,2.40E-13,1.00E+03,1.00E+06,1.00E+24,3.38E+01,3.52E+01,3.40E-53,3.53E-02,1.00E-48,1.00E+33,6.10E+01,2.11E+00,1.76E+00,8.80E-01,1.06E+00,1.00E-12,1.00E-39,2.99E-37,4.23E+00,3.52E+00,1.00E+69,1.00E-75,1.00E+60,1.00E-66
