miligrama,1.00E+15,1.00E-01,6.02E+20,1.00E-04,1.00E-02,1.00E-21,1.00E+12,1.00E-12,1.00E-03,1.00E-05,2.20E-06,1.00E-09,1.00E+03,1.00E+00,1.00E+06,3.53E-05,3.22E-05,1.00E-18,1.00E+09,1.00E-06,6.85E-08,1.57E-07,1.00E-15,1.00E-09,1.10E-09,9.84E-10,1.00E+21,1.00E-27,1.00E+18,1.00E-24
nanograma,1.00E+09,1.00E-07,6.02E+14,1.00E-10,1.00E-08,1.00E-27,1.00E+06,1.00E-18,1.00E-09,1.00E-11,2.20E-12,1.00E-15,1.00E-03,1.00E-06,1.00E+00,3.53E-11,3.22E-11,1.00E-24,1.00E+03,1.00E-12,6.85E-14,1.57E-13,1.00E-21,1.00E-15,1.10E-15,9.84E-16,1.00E+15,1.00E-33,1.00E+12,1.00E-30
onca,2.83E+19,2.83E+03,1.71E+25,2.83E+00,2.83E+02,2.83E-17,2.83E+16,2.83E-08,2.83E+01,2.83E-01,6.25E-02,2.83E-05,2.83E+07,2.83E+04,2.83E+10,1.00E+00,9.11E-01,2.83E-14,2.83E+13,2.83E-02,1.94E-03,4.46E-03,2.83E-11,2.83E-05,3.12E-05,2.79E-05,2.83E+25,2.83E-23,2.83E+22,2.83E-20
onca troy,3.11E+19,3.11E+03,1.87E+25,3.11E+00,3.11E+02,3.11E-17,3.11E+16,3.11E-08,3.11E+01,3.11E-01,6.86E-02,3.11E-05,3.11E+07,3.11E+04,3.11E+10,1.10E+00,1.00E+00,3.11E-14,3.11E+13,3.11E-02,2.13E-03,4.90E-03,3.11E-11,3.11E-05,3.43E-05,3.06E-05,3.11E+25,3.11E-23,3.11E+22,3.11E-20
petagrama,1.00E+33,1.00E+17,6.02E+38,1.00E+14,1.00E+16,1.00E-03,1.00E+30,1.00E+06,1.00E+15,1.00E+13,2.20E+12,1.00E+09,1.00E+21,1.00E+18,1.00E+24,3.53E+13,3.22E+13,1.00E+00,1.00E+27,1.00E+12,6.85E+10,1.57E+11,1.00E+03,1.00E+09,1.10E+09,9.84E+08,1.00E+39,1.00E-09,1.00E+36,1.00E-06
picograma,1.00E+06,1.00E-10,6.02E+11,1.00E-13,1.00E-11,1.00E-30,1.00E+03,1.00E-21,1.00E-12,1.00E-14,2.20E-15,1.00E-18,1.00E-06,1.00E-09,1.00E-03,3.53E-14,3.22E-14,1.00E-27,1.00E+00,1.00E-15,6.85E-17,1.57E-16,1.00E-24,1.00E-18,1.10E-18,9.84E-19,1.00E+12,1.00E-36,1.00E+09,1.00E-33
quilograma,1.00E+21,1.00E+05,6.02E+26,1.00E+02,1.00E+04,1.00E-15,1.00E+18,1.00E-06,1.00E+03,1.00E+01,2.20E+00,1.00E-03,1.00E+09,1.00E+06,1.00E+12,3.53E+01,3.22E+01,1.00E-12,1.00E+15,1.00E+00,6.85E-02,1.57E-01,1.00E-09,1.00E-03,1.10E-03,9.84E-04,1.00E+27,1.00E-21,1.00E+24,1.00E-18
slug,1.46E+22,1.46E+06,8.79E+27,1.46E+03,1.46E+05,1.46E-14,1.46E+19,1.46E-05,1.46E+04,1.46E+02,3.22E+01,1.46E-02,1.46E+10,1.46E+07,1.46E+13,5.15E+02,4.69E+02,1.46E-11,1.46E+16,1.46E+01,1.00E+00,2.30E+00,1.46E-08,1.46E-02,1.61E-02,1.44E-02,1.46E+28,1.46E-20,1.46E+25,1.46E-17
stone,6.35E+21,6.35E+05,3.82E+27,6.35E+02,6.35E+04,6.35E-15,6.35E+18,6.35E-06,6.35E+03,6.35E+01,1.40E+01,6.35E-03,6.35E+09,6.35E+06,6.35E+12,2.24E+02,2.04E+02,6.35E-12,6.35E+15,6.35E+00,4.35E-01,1.00E+00,6.35E-09,6.35E-03,7.00E-03,6.25E-03,6.35E+27,6.35E-21,6.35E+24,6.35E-18
teragrama,1.00E+30,1.00E+14,6.02E+35,1.00E+11,1.00E+13,1.00E-06,1.00E+27,1.00E+03,1.00E+12,1.00E+10,2.20E+09,1.00E+06,1.00E+18,1.00E+15,1.00E+21,3.53E+10,3.22E+10,1.00E-03,1.00E+24,1.00E+09,6.85E+07,1.57E+08,1.00E+00,1.00E+06,1.10E+06,9.84E+05,1.00E+36,1.00E-12,1.00E+33,1.00E-09
tonelada,1.00E+24,1.00E+08,6.02E+29,1.00E+05,1.00E+07,1.00E-12,1.00E+21,1.00E-03,1.00E+06,1.00E+04,2.20E+03,1.00E+00,1.00E+12,1.00E+09,1.00E+15,3.53E+04,3.22E+04,1.00E-09,1.00E+18,1.00E+03,6.85E+01,1.57E+02,1.00E-06,1.00E+00,1.10E+00,9.84E-01,1.00E+30,1.00E-18,1.00E+27,1.00E-15
tonelada curta,9.07E+23,9.07E+07,5.46E+29,9.07E+04,9.07E+06,9.07E-13,9.07E+20,9.07E-04,9.07E+05,9.07E+03,2.00E+03,9.07E-01,9.07E+11,9.07E+08,9.07E+14,3.20E+04,2.92E+04,9.07E-10,9.07E+17,9.07E+02,6.22E+01,1.43E+02,9.07E-07,9.07E-01,1.00E+00,8.93E-01,9.07E+29,9.07E-19,9.07E+26,9.07E-16
tonelada longa,1.02E+24,1.02E+08,6.12E+29,1.02E+05,1.02E+07,1.02E-12,1.02E+21,1.02E-03,1.02E+06,1.02E+04,2.24E+03,1.02E+00,1.02E+12,1.02E+09,1.02E+15,3.58E+04,3.27E+04,1.02E-09,1.02E+18,1.02E+03,6.96E+01,1.60E+02,1.02E-06,1.02E+00,1.12E+00,1.00E+00,1.02E+30,1.02E-18,1.02E+27,1.02E-15
yoctograma,1.00E-06,1.00E-22,6.02E-01,1.00E-25,1.00E-23,1.00E-42,1.00E-09,1.00E-33,1.00E-24,1.00E-26,2.20E-27,1.00E-30,1.00E-18,1.00E-21,1.00E-15,3.53E-26,3.22E-26,1.00E-39,1.00E-12,1.00E-27,6.85E-29,1.57E-28,1.00E-36,1.00E-30,1.10E-30,9.84E-31,1.00E+00,1.00E-48,1.00E-03,1.00E-45
yottagrama,1.00E+42,1.00E+26,6.02E+47,1.00E+23,1.00E+25,1.00E+06,1.00E+39,1.00E+15,1.00E+24,1.00E+22,2.20E+21,1.00E+18,1.00E+30,1.00E+27,1.00E+33,3.53E+22,3.22E+22,1.00E+09,1.00E+36,1.00E+21,6.85E+19,1.57E+20,1.00E+12,1.00E+18,1.10E+18,9.84E+17,1.00E+48,1.00E+00,1.00E+45,1.00E+03
zeptograma,1.00E-03,1.00E-19,6.02E+02,1.00E-22,1.00E-20,1.00E-39,1.00E-06,1.00E-30,1.00E-21,1.00E-23,2.20E-24,1.00E-27,1.00E-15,1.00E-18,1.00E-12,3.53E-23,3.22E-23,1.00E-36,1.00E-09,1.00E-24,6.85E-26,1.57E-25,1.00E-33,1.00E-27,1.10E-27,9.84E-28,1.00E+03,1.00E-45,1.00E+00,1.00E-42
zettagrama,1.00E+39,1.00E+23,6.02E+44,1.00E+20,1.00E+22,1.00E+03,1.00E+36,1.00E+12,1.00E+21,1.00E+19,2.20E+18,1.00E+15,1.00E+27,1.00E+24,1.00E+30,3.53E+19,3.22E+19,1.00E+06,1.00E+33,1.00E+18,6.85E+16,1.57E+17,1.00E+09,1.00E+15,1.10E+15,9.84E+14,1.00E+45,1.00E-03,1.00E+42,1.00E+00
