ano,1,3.156E+025,3156000000,3156000,315600000,365.25,3.15576E-11,3.156E+022,0.0315576,315576,8766,31.5576,12.0082,31560000000000,31560000000,525960,3.156E+016,3.15576E-08,3.156E+019,31557.6,31560000,52.1786,3.15576E-05,3.156E+031,3.15576E-17,3.156E+028,3.15576E-14
attosegundo,3.16856780735108E-26,1,1E-16,1E-19,1E-17,1.15731939163498E-23,9.99923954372624E-37,0.001,9.99923954372624E-28,9.99923954372624E-21,2.77756653992395E-22,9.99923954372624E-25,3.80487959442332E-25,1E-12,1E-15,1.66653992395437E-20,1E-09,9.99923954372624E-34,1E-06,9.99923954372624E-22,1E-18,1.65331432192649E-24,9.99923954372624E-31,1000000,9.99923954372624E-43,1000,9.99923954372624E-40
centisegundo,3.16856780735108E-10,1E+016,1,0.001,0.1,1.15731939163498E-07,9.99923954372624E-21,10000000000000,9.99923954372624E-12,9.99923954372624E-05,2.77756653992395E-06,9.99923954372624E-09,3.80487959442332E-09,10000,10,0.000166653992395,10000000,9.99923954372624E-18,10000000000,9.99923954372624E-06,0.01,1.65331432192649E-08,9.99923954372623E-15,1E+022,9.99923954372624E-27,1E+019,9.99923954372624E-24
decasegundo,3.16856780735108E-07,1E+019,1000,1,100,0.000115731939163,9.99923954372624E-18,1E+016,9.99923954372624E-09,0.099992395437262,0.002777566539924,9.99923954372624E-06,3.80487959442332E-06,10000000,10000,0.166653992395437,10000000000,9.99923954372623E-15,10000000000000,0.009999239543726,10,1.65331432192649E-05,9.99923954372624E-12,1E+025,9.99923954372624E-24,1E+022,9.99923954372624E-21
decisegundo,3.16856780735108E-09,1E+017,10,0.01,1,1.15731939163498E-06,9.99923954372624E-20,100000000000000,9.99923954372624E-11,0.000999923954373,2.77756653992395E-05,9.99923954372624E-08,3.80487959442332E-08,100000,100,0.001666539923954,100000000,9.99923954372624E-17,100000000000,9.99923954372624E-05,0.1,1.65331432192649E-07,9.99923954372624E-14,1E+023,9.99923954372624E-26,1E+020,9.99923954372624E-23
dia,0.002737850787132,8.64065708418891E+022,8640657.08418891,8640.65708418891,864065.708418891,1,8.64E-14,8.64065708418891E+019,8.64E-05,864,24,0.0864,0.03287665982204,86406570841.8891,86406570.8418891,1440,86406570841889.1,8.64E-11,8.64065708418891E+016,86.4,86406.5708418891,0.142857221081451,8.64E-08,8.64065708418891E+028,8.64E-20,8.64065708418891E+025,8.64E-17
exasegundo,31688087814.0289,1.00007605141075E+036,1.00007605141075E+020,1.00007605141075E+017,1.00007605141075E+019,11574074074074.1,1,1.00007605141075E+033,1000000000,1E+016,277777777777778,1000000000000,380516896088.422,1.00007605141075E+024,1.00007605141075E+021,1.66666666666667E+016,1.00007605141075E+027,1000,1.00007605141075E+030,1E+015,1.00007605141075E+018,1653440058813.09,1000000,1.00007605141075E+042,1E-06,1.00007605141075E+039,0.001
femtosegundo,3.16856780735108E-23,1000,1E-13,1E-16,1E-14,1.15731939163498E-20,9.99923954372624E-34,1,9.99923954372623E-25,9.99923954372624E-18,2.77756653992395E-19,9.99923954372624E-22,3.80487959442332E-22,1E-09,1E-12,1.66653992395437E-17,1E-06,9.99923954372623E-31,0.001,9.99923954372624E-19,1E-15,1.65331432192649E-21,9.99923954372624E-28,1000000000,9.99923954372624E-40,1000000,9.99923954372624E-37
gigasegundo,31.688087814029,1.00007605141075E+027,100007605141.075,100007605.141075,10000760514.1075,11574.0740740741,1E-09,1.00007605141075E+024,1,10000000,277777.777777778,1000,380.516896088423,1.00007605141075E+015,1000076051410.75,16666666.6666667,1.00007605141075E+018,1E-06,1.00007605141075E+021,1000000,1000076051.41075,1653.44005881309,0.001,1.00007605141075E+033,1E-15,1.00007605141075E+030,1E-12
hectosegundo,3.1688087814029E-06,1.00007605141075E+020,10000.7605141075,10.0007605141075,1000.07605141075,0.001157407407407,1E-16,1.00007605141075E+017,1E-07,1,0.027777777777778,1E-04,3.80516896088422E-05,100007605.141075,100007.605141075,1.66666666666667,100007605141.075,1E-13,100007605141075,0.1,100.007605141075,0.000165344005881,1E-10,1.00007605141075E+026,1E-22,1.00007605141075E+023,1E-19
hora,0.000114077116131,3.60027378507871E+021,360027.378507871,360.027378507871,36002.7378507871,0.041666666666667,3.6E-15,3.60027378507871E+018,3.6E-06,36,1,0.0036,0.001369860825918,3600273785.07871,3600273.78507871,60,3600273785078.71,3.6E-12,3.60027378507871E+015,3.6,3600.27378507871,0.005952384211727,3.6E-09,3.60027378507871E+027,3.6E-21,3.60027378507871E+024,3.6E-18
megasegundo,0.031688087814029,1.00007605141075E+024,100007605.141075,100007.605141075,10000760.5141075,11.5740740740741,1E-12,1.00007605141075E+021,0.001,10000,277.777777777778,1,0.380516896088422,1000076051410.75,1000076051.41075,16666.6666666667,1.00007605141075E+015,1E-09,1.00007605141075E+018,1000,1000076.05141075,1.65344005881309,1E-06,1.00007605141075E+030,1E-18,1.00007605141075E+027,1E-15
mes,0.083276427774354,2.62820406055862E+024,262820406.055862,262820.406055862,26282040.6055862,30.4167152445829,2.62800419713196E-12,2.62820406055862E+021,0.002628004197132,26280.0419713196,730.001165869989,2.62800419713196,1,2628204060558.62,2628204060.55862,43800.0699521993,2.62820406055862E+015,2.62800419713196E-09,2.62820406055862E+018,2628.00419713196,2628204.06055862,4.34524741426692,2.62800419713196E-06,2.62820406055862E+030,2.62800419713196E-18,2.62820406055862E+027,2.62800419713196E-15
