jardas2,2.07E-04,8.36E+19,9.34E-33,8.36E+35,8.36E+03,8.36E-03,8.36E+01,8.36E-37,8.36E+29,8.36E-19,8.36E-05,8.36E-05,1.00E+00,8.36E-13,8.36E-01,8.36E+11,2.44E-07,3.23E-07,8.36E+05,8.36E+17,8.78E-34,9.00E+00,8.36E-31,8.36E+23,1.30E+03,8.36E-07,8.36E-25,3.74E-23,8.36E+47,8.36E-49,8.36E+41,8.36E-43
megâmetro2,2.47E+08,1.00E+32,1.12E-20,1.00E+48,1.00E+16,1.00E+10,1.00E+14,1.00E-24,1.00E+42,1.00E-06,1.00E+08,1.00E+08,1.20E+12,1.00E+00,1.00E+12,1.00E+24,2.92E+05,3.86E+05,1.00E+18,1.00E+30,1.05E-21,1.08E+13,1.00E-18,1.00E+36,1.55E+15,1.00E+06,1.00E-12,4.47E-11,1.00E+60,1.00E-36,1.00E+54,1.00E-30
metro2,2.47E-04,1.00E+20,1.12E-32,1.00E+36,1.00E+04,1.00E-02,1.00E+02,1.00E-36,1.00E+30,1.00E-18,1.00E-04,1.00E-04,1.20E+00,1.00E-12,1.00E+00,1.00E+12,2.92E-07,3.86E-07,1.00E+06,1.00E+18,1.05E-33,1.08E+01,1.00E-30,1.00E+24,1.55E+03,1.00E-06,1.00E-24,4.47E-23,1.00E+48,1.00E-48,1.00E+42,1.00E-42
micrômetro2,2.47E-16,1.00E+08,1.12E-44,1.00E+24,1.00E-08,1.00E-14,1.00E-10,1.00E-48,1.00E+18,1.00E-30,1.00E-16,1.00E-16,1.20E-12,1.00E-24,1.00E-12,1.00E+00,2.92E-19,3.86E-19,1.00E-06,1.00E+06,1.05E-45,1.08E-11,1.00E-42,1.00E+12,1.55E-09,1.00E-18,1.00E-36,4.47E-35,1.00E+36,1.00E-60,1.00E+30,1.00E-54
milha náutica2,8.48E+02,3.43E+26,3.83E-26,3.43E+42,3.43E+10,3.43E+04,3.43E+08,3.43E-30,3.43E+36,3.43E-12,3.43E+02,3.43E+02,4.10E+06,3.43E-06,3.43E+06,3.43E+18,1.00E+00,1.32E+00,3.43E+12,3.43E+24,3.60E-27,3.69E+07,3.43E-24,3.43E+30,5.32E+09,3.43E+00,3.43E-18,1.53E-16,3.43E+54,3.43E-42,3.43E+48,3.43E-36
milhas2,6.40E+02,2.59E+26,2.89E-26,2.59E+42,2.59E+10,2.59E+04,2.59E+08,2.59E-30,2.59E+36,2.59E-12,2.59E+02,2.59E+02,3.10E+06,2.59E-06,2.59E+06,2.59E+18,7.55E-01,1.00E+00,2.59E+12,2.59E+24,2.72E-27,2.79E+07,2.59E-24,2.59E+30,4.01E+09,2.59E+00,2.59E-18,1.16E-16,2.59E+54,2.59E-42,2.59E+48,2.59E-36
milímetro2,2.47E-10,1.00E+14,1.12E-38,1.00E+30,1.00E-02,1.00E-08,1.00E-04,1.00E-42,1.00E+24,1.00E-24,1.00E-10,1.00E-10,1.20E-06,1.00E-18,1.00E-06,1.00E+06,2.92E-13,3.86E-13,1.00E+00,1.00E+12,1.05E-39,1.08E-05,1.00E-36,1.00E+18,1.55E-03,1.00E-12,1.00E-30,4.47E-29,1.00E+42,1.00E-54,1.00E+36,1.00E-48
nanômetro2,2.47E-22,1.00E+02,1.12E-50,1.00E+18,1.00E-14,1.00E-20,1.00E-16,1.00E-54,1.00E+12,1.00E-36,1.00E-22,1.00E-22,1.20E-18,1.00E-30,1.00E-18,1.00E-06,2.92E-25,3.86E-25,1.00E-12,1.00E+00,1.05E-51,1.08E-17,1.00E-48,1.00E+06,1.55E-15,1.00E-24,1.00E-42,4.47E-41,1.00E+30,1.00E-66,1.00E+24,1.00E-60
parsec2,2.35E+29,9.52E+52,1.06E+01,9.52E+68,9.52E+36,9.52E+30,9.52E+34,9.52E-04,9.52E+62,9.52E+14,9.52E+28,9.52E+28,1.14E+33,9.52E+20,9.52E+32,9.52E+44,2.78E+26,3.68E+26,9.52E+38,9.52E+50,1.00E+00,1.02E+34,9.52E+02,9.52E+56,1.48E+36,9.52E+26,9.52E+08,4.25E+10,9.52E+80,9.52E-16,9.52E+74,9.52E-10
pé2,2.30E-05,9.29E+18,1.04E-33,9.29E+34,9.29E+02,9.29E-04,9.29E+00,9.29E-38,9.29E+28,9.29E-20,9.29E-06,9.29E-06,1.11E-01,9.29E-14,9.29E-02,9.29E+10,2.71E-08,3.59E-08,9.29E+04,9.29E+16,9.76E-35,1.00E+00,9.29E-32,9.29E+22,1.44E+02,9.29E-08,9.29E-26,4.15E-24,9.29E+46,9.29E-50,9.29E+40,9.29E-44
